kode_prov,nama_prov,jenis_pdrb,kode_komp,nama_komp,nilai_jt
12,Sumatera Utara,PRODUKSI,I-07,Perikanan ,16890496.138268083
12,Sumatera Utara,PRODUKSI,I-08,"Pertambangan Minyak, Gas dan Panas Bumi",338096.9537049539
12,Sumatera Utara,PRODUKSI,I-09,Pertambangan Batubara dan Lignit,0
12,Sumatera Utara,PRODUKSI,I-10,Pertambangan Bijih Logam,2770032.0100236554
12,Sumatera Utara,PRODUKSI,I-11,Pertambangan dan Penggalian Lainnya,5278197.226440468
12,Sumatera Utara,PRODUKSI,I-12,Industri Batubara dan Pengilangan Migas,24907.717376289755
12,Sumatera Utara,PRODUKSI,I-13,Industri Makanan dan Minuman ,75686456.17434211
12,Sumatera Utara,PRODUKSI,I-14,Industri Pengolahan Tembakau,16286806.749456415
12,Sumatera Utara,PRODUKSI,I-15,Industri Tekstil dan Pakaian Jadi,1947187.5446617005
12,Sumatera Utara,PRODUKSI,I-16,"Industri Kulit, Barang dari Kulit dan Alas Kaki ",1206962.451666041
12,Sumatera Utara,PRODUKSI,I-17,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",2063463.2396339234
12,Sumatera Utara,PRODUKSI,I-18,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ",3695231.1917652767
12,Sumatera Utara,PRODUKSI,I-19,"Industri Kimia, Farmasi dan Obat Tradisional",2847275.3611229835
12,Sumatera Utara,PRODUKSI,I-20,"Industri Karet, Barang dari Karet dan Plastik",6700315.138049875
12,Sumatera Utara,PRODUKSI,I-21,Industri Barang Galian bukan Logam,2799180.6183132543
12,Sumatera Utara,PRODUKSI,I-22,Industri Logam Dasar ,9477445.151299879
12,Sumatera Utara,PRODUKSI,I-23,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",3201141.87954331
12,Sumatera Utara,PRODUKSI,I-24,Industri Mesin dan Perlengkapan YTDL,3410846.9799887445
12,Sumatera Utara,PRODUKSI,I-25,Industri Alat Angkutan,4599905.60644258
12,Sumatera Utara,PRODUKSI,I-26,Industri Furnitur,1042535.4915287392
12,Sumatera Utara,PRODUKSI,I-27,"Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan",2000445.5274421931
12,Sumatera Utara,PRODUKSI,I-28,Ketenagalistrikan ,3017643.7160065807
12,Sumatera Utara,PRODUKSI,I-29,Pengadaan Gas dan Produksi Es,420009.8075890069
12,Sumatera Utara,PRODUKSI,I-30,"Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",691463.0051796064
12,Sumatera Utara,PRODUKSI,I-31,Konstruksi,56400816.576254204
12,Sumatera Utara,PRODUKSI,I-32,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",10535121.747919312
12,Sumatera Utara,PRODUKSI,I-33,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",72811590.22936799
12,Sumatera Utara,PRODUKSI,I-34,Angkutan Rel ,207183.47892794712
12,Sumatera Utara,PRODUKSI,I-35,Angkutan Darat,15761899.7994661
12,Sumatera Utara,PRODUKSI,I-36,Angkutan Laut ,2168401.4290217157
12,Sumatera Utara,PRODUKSI,I-37,Angkutan Sungai Danau dan Penyeberangan,225558.35656957413
12,Sumatera Utara,PRODUKSI,I-38,Angkutan Udara,8285522.675813659
12,Sumatera Utara,PRODUKSI,I-39,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",8933864.18433672
12,Sumatera Utara,PRODUKSI,I-40,Penyediaan Akomodasi ,2610819.429384037
12,Sumatera Utara,PRODUKSI,I-41,Penyediaan Makan Minum,12668727.976562353
12,Sumatera Utara,PRODUKSI,I-42,Jasa Informasi dan Komunikasi,11801671.188918125
12,Sumatera Utara,PRODUKSI,I-43,Jasa Perantara Keuangan Selain Bank Sentral,14617760.644205026
12,Sumatera Utara,PRODUKSI,I-44,Asuransi dan Dana Pensiun,1774265.987695787
12,Sumatera Utara,PRODUKSI,I-45,Jasa Keuangan Lainnya,2707761.7817250434
12,Sumatera Utara,PRODUKSI,I-46,Jasa Penunjang Keuangan,467116.5843049763
12,Sumatera Utara,PRODUKSI,I-47,Real Estate,17279328.08757279
12,Sumatera Utara,PRODUKSI,I-48,Jasa Perusahaan,9568767.231873045
12,Sumatera Utara,PRODUKSI,I-49,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",17164955.027302258
12,Sumatera Utara,PRODUKSI,I-50,Jasa Pendidikan,25771918.71159975
12,Sumatera Utara,PRODUKSI,I-51,Jasa Kesehatan dan Kegiatan Sosial,6795991.466022379
